ID,Economy,Code,Region,Income group,WBL Report Year,WBL INDEX,MOBILITY,Can a woman apply for a passport in the same way as a man?,Can a woman travel outside the country in the same way as a man?,Can a woman travel outside her home in the same way as a man?,Can a woman choose where to live in the same way as a man?,WORKPLACE,Can a woman get a job in the same way as a man?,Does the law prohibit discrimination in employment based on gender?,Is there legislation on sexual harassment in employment?,Are there criminal penalties or civil remedies for sexual harassment in employment?,PAY,Does the law mandate equal remuneration for work of equal value?,Can women work the same night hours as men?,Can women work in jobs deemed dangerous in the same way as men?,Are women able to work in the same industries as men?,MARRIAGE,Is there no legal provision that requires a married woman to obey her husband?,"Can a woman be ""head of household"" or ""head of family"" in the same way as a man?",Is there legislation specifically addressing domestic violence?,Can a woman obtain a judgment of divorce in the same way as a man?,Does a woman have the same rights to remarry as a man?,PARENTHOOD,Is paid leave of at least 14 weeks available to mothers?,Does the government administer 100% of maternity leave benefits?,Is there paid leave available to fathers?,Is there paid parental leave?,Is dismissal of pregnant workers prohibited?,ENTREPRENEURSHIP,Can a woman sign a contract in the same way as a man?,Can a woman register a business in the same way as a man?,Can a woman open a bank account in the same way as a man?,Does the law prohibit discrimination in access to credit based on gender?,ASSETS,Do men and women have equal ownership rights to immovable property?,Do sons and daughters have equal rights to inherit assets from their parents?,Do female and male surviving spouses have equal rights to inherit assets?,Does the law grant spouses equal administrative authority over assets during marriage?,Does the law provide for the valuation of nonmonetary contributions?,PENSION,Are the ages at which men and women can retire with full pension benefits equal?,Are the ages at which men and women can retire with partial pension benefits equal?,Is the mandatory retirement age for men and women equal?,Are periods of absence from work due to childcare accounted for in pension benefits?
BRB2005,Barbados,BRB,Latin America & Caribbean,High income,2005,70.6,75,No,Yes,Yes,Yes,25,Yes,No,No,No,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
BRB2006,Barbados,BRB,Latin America & Caribbean,High income,2006,70.6,75,No,Yes,Yes,Yes,25,Yes,No,No,No,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
BRB2007,Barbados,BRB,Latin America & Caribbean,High income,2007,70.6,75,No,Yes,Yes,Yes,25,Yes,No,No,No,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
BRB2008,Barbados,BRB,Latin America & Caribbean,High income,2008,70.6,75,No,Yes,Yes,Yes,25,Yes,No,No,No,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
BRB2009,Barbados,BRB,Latin America & Caribbean,High income,2009,70.6,75,No,Yes,Yes,Yes,25,Yes,No,No,No,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
BRB2010,Barbados,BRB,Latin America & Caribbean,High income,2010,70.6,75,No,Yes,Yes,Yes,25,Yes,No,No,No,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
BRB2011,Barbados,BRB,Latin America & Caribbean,High income,2011,70.6,75,No,Yes,Yes,Yes,25,Yes,No,No,No,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
BRB2012,Barbados,BRB,Latin America & Caribbean,High income,2012,70.6,75,No,Yes,Yes,Yes,25,Yes,No,No,No,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
BRB2013,Barbados,BRB,Latin America & Caribbean,High income,2013,70.6,75,No,Yes,Yes,Yes,25,Yes,No,No,No,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
BRB2014,Barbados,BRB,Latin America & Caribbean,High income,2014,70.6,75,No,Yes,Yes,Yes,25,Yes,No,No,No,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
BRB2015,Barbados,BRB,Latin America & Caribbean,High income,2015,70.6,75,No,Yes,Yes,Yes,25,Yes,No,No,No,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
BRB2016,Barbados,BRB,Latin America & Caribbean,High income,2016,70.6,75,No,Yes,Yes,Yes,25,Yes,No,No,No,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
BRB2017,Barbados,BRB,Latin America & Caribbean,High income,2017,70.6,75,No,Yes,Yes,Yes,25,Yes,No,No,No,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
BRB2018,Barbados,BRB,Latin America & Caribbean,High income,2018,70.6,75,No,Yes,Yes,Yes,25,Yes,No,No,No,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
BRB2019,Barbados,BRB,Latin America & Caribbean,High income,2019,76.9,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
BRB2020,Barbados,BRB,Latin America & Caribbean,High income,2020,76.9,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN1971,Brunei Darussalam,BRN,East Asia & Pacific,High income,1971,38.8,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No
BRN1972,Brunei Darussalam,BRN,East Asia & Pacific,High income,1972,38.8,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No
BRN1973,Brunei Darussalam,BRN,East Asia & Pacific,High income,1973,38.8,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No
BRN1974,Brunei Darussalam,BRN,East Asia & Pacific,High income,1974,38.8,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No
BRN1975,Brunei Darussalam,BRN,East Asia & Pacific,High income,1975,38.8,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No
BRN1976,Brunei Darussalam,BRN,East Asia & Pacific,High income,1976,38.8,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No
BRN1977,Brunei Darussalam,BRN,East Asia & Pacific,High income,1977,38.8,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No
BRN1978,Brunei Darussalam,BRN,East Asia & Pacific,High income,1978,38.8,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No
BRN1979,Brunei Darussalam,BRN,East Asia & Pacific,High income,1979,38.8,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No
BRN1980,Brunei Darussalam,BRN,East Asia & Pacific,High income,1980,38.8,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No
BRN1981,Brunei Darussalam,BRN,East Asia & Pacific,High income,1981,38.8,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No
BRN1982,Brunei Darussalam,BRN,East Asia & Pacific,High income,1982,38.8,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No
BRN1983,Brunei Darussalam,BRN,East Asia & Pacific,High income,1983,38.8,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No
BRN1984,Brunei Darussalam,BRN,East Asia & Pacific,High income,1984,38.8,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,75,Yes,Yes,Yes,No
BRN1985,Brunei Darussalam,BRN,East Asia & Pacific,High income,1985,41.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
BRN1986,Brunei Darussalam,BRN,East Asia & Pacific,High income,1986,41.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
BRN1987,Brunei Darussalam,BRN,East Asia & Pacific,High income,1987,41.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
BRN1988,Brunei Darussalam,BRN,East Asia & Pacific,High income,1988,41.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
BRN1989,Brunei Darussalam,BRN,East Asia & Pacific,High income,1989,41.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
BRN1990,Brunei Darussalam,BRN,East Asia & Pacific,High income,1990,41.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
BRN1991,Brunei Darussalam,BRN,East Asia & Pacific,High income,1991,41.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
BRN1992,Brunei Darussalam,BRN,East Asia & Pacific,High income,1992,41.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
BRN1993,Brunei Darussalam,BRN,East Asia & Pacific,High income,1993,41.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
BRN1994,Brunei Darussalam,BRN,East Asia & Pacific,High income,1994,41.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
BRN1995,Brunei Darussalam,BRN,East Asia & Pacific,High income,1995,41.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
BRN1996,Brunei Darussalam,BRN,East Asia & Pacific,High income,1996,41.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
BRN1997,Brunei Darussalam,BRN,East Asia & Pacific,High income,1997,41.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
BRN1998,Brunei Darussalam,BRN,East Asia & Pacific,High income,1998,41.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
BRN1999,Brunei Darussalam,BRN,East Asia & Pacific,High income,1999,41.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
BRN2000,Brunei Darussalam,BRN,East Asia & Pacific,High income,2000,41.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
BRN2001,Brunei Darussalam,BRN,East Asia & Pacific,High income,2001,46.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2002,Brunei Darussalam,BRN,East Asia & Pacific,High income,2002,46.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2003,Brunei Darussalam,BRN,East Asia & Pacific,High income,2003,46.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2004,Brunei Darussalam,BRN,East Asia & Pacific,High income,2004,46.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2005,Brunei Darussalam,BRN,East Asia & Pacific,High income,2005,46.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2006,Brunei Darussalam,BRN,East Asia & Pacific,High income,2006,46.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2007,Brunei Darussalam,BRN,East Asia & Pacific,High income,2007,46.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2008,Brunei Darussalam,BRN,East Asia & Pacific,High income,2008,46.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2009,Brunei Darussalam,BRN,East Asia & Pacific,High income,2009,46.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2010,Brunei Darussalam,BRN,East Asia & Pacific,High income,2010,46.9,50,Yes,Yes,No,No,25,Yes,No,No,No,25,No,No,Yes,No,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2011,Brunei Darussalam,BRN,East Asia & Pacific,High income,2011,53.1,50,Yes,Yes,No,No,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2012,Brunei Darussalam,BRN,East Asia & Pacific,High income,2012,53.1,50,Yes,Yes,No,No,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2013,Brunei Darussalam,BRN,East Asia & Pacific,High income,2013,53.1,50,Yes,Yes,No,No,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2014,Brunei Darussalam,BRN,East Asia & Pacific,High income,2014,53.1,50,Yes,Yes,No,No,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2015,Brunei Darussalam,BRN,East Asia & Pacific,High income,2015,53.1,50,Yes,Yes,No,No,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2016,Brunei Darussalam,BRN,East Asia & Pacific,High income,2016,53.1,50,Yes,Yes,No,No,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2017,Brunei Darussalam,BRN,East Asia & Pacific,High income,2017,53.1,50,Yes,Yes,No,No,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2018,Brunei Darussalam,BRN,East Asia & Pacific,High income,2018,53.1,50,Yes,Yes,No,No,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2019,Brunei Darussalam,BRN,East Asia & Pacific,High income,2019,53.1,50,Yes,Yes,No,No,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BRN2020,Brunei Darussalam,BRN,East Asia & Pacific,High income,2020,53.1,50,Yes,Yes,No,No,25,Yes,No,No,No,75,No,Yes,Yes,Yes,40,No,Yes,Yes,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes
BTN1971,Bhutan,BTN,South Asia,Lower middle income,1971,55,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,25,No,No,Yes,No
BTN1972,Bhutan,BTN,South Asia,Lower middle income,1972,55,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,25,No,No,Yes,No
BTN1973,Bhutan,BTN,South Asia,Lower middle income,1973,55,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,25,No,No,Yes,No
BTN1974,Bhutan,BTN,South Asia,Lower middle income,1974,55,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,25,No,No,Yes,No
BTN1975,Bhutan,BTN,South Asia,Lower middle income,1975,55,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,25,No,No,Yes,No
BTN1976,Bhutan,BTN,South Asia,Lower middle income,1976,55,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,25,No,No,Yes,No
BTN1977,Bhutan,BTN,South Asia,Lower middle income,1977,55,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,25,No,No,Yes,No
BTN1978,Bhutan,BTN,South Asia,Lower middle income,1978,55,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,25,No,No,Yes,No
BTN1979,Bhutan,BTN,South Asia,Lower middle income,1979,55,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,25,No,No,Yes,No
BTN1980,Bhutan,BTN,South Asia,Lower middle income,1980,55,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,25,No,No,Yes,No
BTN1981,Bhutan,BTN,South Asia,Lower middle income,1981,55,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,25,No,No,Yes,No
BTN1982,Bhutan,BTN,South Asia,Lower middle income,1982,55,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,25,No,No,Yes,No
BTN1983,Bhutan,BTN,South Asia,Lower middle income,1983,55,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,25,No,No,Yes,No
BTN1984,Bhutan,BTN,South Asia,Lower middle income,1984,55,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,25,No,No,Yes,No
BTN1985,Bhutan,BTN,South Asia,Lower middle income,1985,55,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,25,No,No,Yes,No
BTN1986,Bhutan,BTN,South Asia,Lower middle income,1986,55,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,0,No,No,No,No,No,75,Yes,Yes,Yes,No,80,Yes,Yes,Yes,Yes,No,25,No,No,Yes,No
